Date,Price,MA20,MA60,MA120
20191224,2351.842,2309.68,2251.47,2208.79
20191225,2351.222,2312.1,2254.69,2210.1
20191226,2360.214,2315.03,2258.67,2211.43
20191227,2364.904,2318.66,2262.56,2212.76
20191230,2353.253,2322.5,2265.88,2213.93
20191231,2358.468,2327.27,2269.33,2215.13
20200101,2358.475,2331.42,2273.23,2216.39
20200102,2375.938,2336.28,2277.2,2217.87
20200103,2363.12,2339.62,2280.75,2219.24
20200106,2364.491,2343.22,2283.84,2220.66
20200107,2362.428,2346.85,2286.96,2222.03
20200108,2366.926,2350.45,2289.8,2223.34
20200109,2379.854,2353.97,2292.87,2224.69
20200110,2377.619,2356.87,2295.8,2226.11
20200113,2388.247,2359.41,2299.02,2227.55
20200114,2388.496,2362,2302,2229.02
20200115,2392.064,2364.94,2305.13,2230.59
20200116,2406.168,2368.22,2308.43,2232.41
20200117,2415.512,2371.5,2311.76,2234.43
20200120,2415.035,2374.71,2314.97,2236.64
20200121,2409.292,2377.59,2317.93,2239.24
20200122,2410.228,2380.54,2320.89,2241.75
20200123,2406.137,2382.83,2323.71,2244.18
20200124,2395.309,2384.35,2326.4,2246.25
20200127,2356.093,2384.5,2328.14,2248.09
20200128,2372.522,2385.2,2329.99,2250.22
20200129,2373.517,2385.95,2331.89,2252.21
20200130,2372.014,2385.75,2333.74,2254.59
20200131,2342.414,2384.72,2335,2256.75
20200203,2351.452,2384.07,2336.38,2258.78
20200204,2383.295,2385.11,2338.33,2260.87
20200205,2404.963,2387.01,2340.57,2263.25
20200206,2416.477,2388.84,2343.04,2265.59
20200207,2404.746,2390.2,2345.37,2267.87
20200210,2413.101,2391.44,2347.54,2270.52
20200211,2421.262,2393.08,2349.8,2273.16
20200212,2434.952,2395.22,2352.3,2275.91
20200213,2429.893,2396.41,2354.88,2278.56
20200214,2431.365,2397.2,2357.51,2281.04
20200217,2430.694,2397.99,2359.84,2283.48
20200218,2421.468,2398.6,2361.95,2285.85
20200219,2431.225,2399.64,2364.1,2288.39
20200220,2420.209,2400.35,2366.07,2290.64
20200221,2402.804,2400.72,2367.91,2292.54
20200224,2330.752,2399.46,2368.82,2293.81
20200225,2269.42,2394.3,2368.92,2294.57
20200226,2258.62,2388.56,2368.64,2295.23
20200227,2177.248,2378.82,2366.95,2295.09
20200228,2141.124,2368.75,2364.36,2294.58
20200302,2212.384,2361.8,2363.03,2294.63
20200303,2179.482,2351.61,2361.19,2294.5
20200304,2243.092,2343.52,2360.33,2294.84
20200305,2192.345,2332.31,2358.38,2294.77
20200306,2149.286,2319.54,2355.53,2294.31
20200309,1995.222,2298.64,2349.83,2292.62
20200310,2051.957,2280.18,2345.09,2291.44
20200311,1972.045,2257.03,2339.07,2289.69
20200312,1776.525,2224.36,2329.66,2286.29
20200313,1881.641,2196.88,2321.86,2283.78
20200316,1702.788,2160.48,2311.06,2279.84
20200317,1772.935,2128.06,2301.41,2276.44
20200318,1682.252,2090.61,2290.26,2272.47
20200319,1694.449,2054.32,2279.17,2268.92
20200320,1650.94,2016.73,2267.27,2264.91
20200323,1602.105,1980.29,2254.75,2260.32
20200324,1742.606,1953.95,2244.48,2256.9
20200325,1785.986,1930.32,2234.94,2254.09
20200326,1875.563,1915.24,2226.6,2251.9
20200327,1827.171,1899.54,2217.67,2249.21
20200330,1870.477,1882.44,2209.44,2246.64
20200331,1852.727,1866.11,2200.94,2243.95
20200401,1781.266,1843.01,2191.18,2240.49
20200402,1803.067,1823.55,2181.57,2237.22
