Date,Price,MA20,MA60,MA120
2020-05-18,"2,069.004","2,015.94","1,963.32","2,166.07"
2020-05-19,"2,061.372","2,022.4","1,959.85","2,164.39"
2020-05-20,"2,092.031","2,028.58","1,957.08","2,162.86"
2020-05-21,"2,074.098","2,033.57","1,955.36","2,161.15"
2020-05-22,"2,071.902","2,037.78","1,954.2","2,159.28"
2020-05-25,"2,081.833","2,040.75","1,952.03","2,157.53"
2020-05-26,"2,114.271","2,045.3","1,950.94","2,156.07"
2020-05-27,"2,136.899","2,048.6","1,949.17","2,154.75"
2020-05-28,"2,148.333","2,053.38","1,948.44","2,153.41"
2020-05-29,"2,147.882","2,060.53","1,948.41","2,151.97"
2020-06-01,"2,163.925","2,068.84","1,951.23","2,150.53"
2020-06-02,"2,187.088","2,077.29","1,953.48","2,149.28"
2020-06-03,"2,222.538","2,088.04","1,957.65","2,148.36"
2020-06-04,"2,218.503","2,097.66","1,965.02","2,147.34"
2020-06-05,"2,266.756","2,107.9","1,971.44","2,146.65"
2020-06-08,"2,288.041","2,119.27","1,981.19","2,146.13"
2020-06-09,"2,275.276","2,131.33","1,989.56","2,145.49"
2020-06-10,"2,267.364","2,144.77","1,999.32","2,144.79"
2020-06-11,"2,154.437","2,152.5","2,006.98","2,143.07"
2020-06-12,"2,164.457","2,160.3","2,015.54","2,141.4"
2020-06-15,"2,171.443","2,165.42","2,025.03","2,139.89"
2020-06-16,"2,219.097","2,173.31","2,032.97","2,138.73"
2020-06-17,"2,217.897","2,179.6","2,040.17","2,137.56"
2020-06-18,"2,215.644","2,186.68","2,045.84","2,136.22"
2020-06-19,"2,208.967","2,193.53","2,052.2","2,134.94"
2020-06-22,"2,217.82","2,200.33","2,057.99","2,133.71"
2020-06-23,"2,236.037","2,206.42","2,064.38","2,132.66"
2020-06-24,"2,180.122","2,208.58","2,071.03","2,131.1"
2020-06-25,"2,193.396","2,210.83","2,077.53","2,129.55"
2020-06-26,"2,157.191","2,211.3","2,083.87","2,127.71"
2020-06-29,"2,176.439","2,211.93","2,088.79","2,125.95"
2020-06-30,"2,201.788","2,212.66","2,093.9","2,124.39"
2020-07-01,"2,211.272","2,212.1","2,098.42","2,122.89"
2020-07-02,"2,227.648","2,212.55","2,102.7","2,121.4"
2020-07-03,"2,226.395","2,210.54","2,106.94","2,119.82"
2020-07-06,"2,264.287","2,209.35","2,112.07","2,118.57"
2020-07-07,"2,243.166","2,207.74","2,116.01","2,117.18"
2020-07-08,"2,252.639","2,207.01","2,120.88","2,115.87"
2020-07-09,"2,240.734","2,211.32","2,125.49","2,114.49"
2020-07-10,"2,259.597","2,216.08","2,129.52","2,113.36"
2020-07-13,"2,253.759","2,220.19","2,133.85","2,112.51"
2020-07-14,"2,270.685","2,222.77","2,139.49","2,111.66"
2020-07-15,"2,298.782","2,226.82","2,145","2,111.03"
2020-07-16,"2,288.81","2,230.48","2,150.24","2,110.34"
2020-07-17,"2,293.916","2,234.72","2,155.35","2,109.94"
2020-07-20,"2,312.954","2,239.48","2,160.19","2,109.62"
2020-07-21,"2,321.549","2,243.76","2,165.16","2,109.1"
2020-07-22,"2,327.764","2,251.14","2,169.44","2,108.46"
2020-07-23,"2,308.117","2,256.87","2,173.7","2,107.56"
2020-07-24,"2,291.578","2,263.59","2,178.48","2,106.61"
2020-07-27,"2,311.623","2,270.35","2,183.71","2,105.77"
2020-07-28,"2,299.906","2,275.26","2,188.4","2,104.76"
2020-07-29,"2,319.711","2,280.68","2,193.6","2,103.79"
2020-07-30,"2,304.009","2,284.5","2,198.24","2,102.75"
2020-07-31,"2,304.982","2,288.43","2,202.29","2,101.69"
2020-08-03,"2,324.082","2,291.42","2,206.68","2,100.8"
2020-08-04,"2,336.824","2,296.1","2,211.72","2,100.1"
2020-08-05,"2,355.939","2,301.27","2,217.68","2,099.47"
2020-08-06,"2,359.89","2,307.22","2,223.68","2,098.97"
2020-08-07,"2,355.973","2,312.04","2,229.47","2,098.58"
2020-08-10,"2,360.869","2,317.4","2,234.34","2,098.83"
2020-08-11,"2,359.466","2,321.84","2,239.31","2,099.58"
2020-08-12,"2,391.795","2,326.49","2,244.3","2,100.69"
2020-08-13,"2,390.085","2,331.55","2,249.57","2,102.46"
2020-08-14,"2,384.199","2,336.07","2,254.77","2,104.49"
2020-08-17,"2,393.972","2,340.12","2,259.98","2,106"
2020-08-18,"2,399.366","2,344.01","2,264.73","2,107.83"
2020-08-19,"2,394.468","2,347.34","2,269.02","2,109.1"
2020-08-20,"2,389.15","2,351.39","2,273.03","2,110.74"
2020-08-21,"2,392.108","2,356.42","2,277.1","2,112.76"
2020-08-24,"2,417.054","2,361.69","2,281.32","2,116.27"
2020-08-25,"2,422.949","2,367.84","2,285.25","2,119.37"
2020-08-26,"2,446.05","2,374.16","2,288.98","2,123.32"
2020-08-27,"2,442.786","2,381.1","2,292.72","2,128.87"
2020-08-28,"2,456.855","2,388.69","2,295.89","2,133.66"
2020-08-31,"2,455.512","2,395.27","2,298.68","2,139.93"
2020-09-01,"2,467.249","2,401.79","2,301.88","2,145.72"
2020-09-02,"2,494.101","2,408.69","2,305.66","2,152.49"
2020-09-03,"2,425.783","2,411.99","2,310.18","2,158.58"
2020-09-04,"2,399.601","2,414.17","2,314.1","2,164.82"
2020-09-07,"2,408.046","2,416.53","2,318.04","2,171.54"
2020-09-08,"2,354.41","2,416.28","2,320.3","2,176.63"
2020-09-09,"2,393.751","2,416.37","2,323.23","2,181.7"
2020-09-10,"2,367.8","2,415.26","2,325.76","2,185.8"
2020-09-11,"2,368.143","2,414.46","2,328.42","2,190.31"
2020-09-14,"2,396.374","2,414.58","2,331.39","2,194.69"
2020-09-15,"2,407.975","2,415.01","2,334.26","2,199.32"
2020-09-16,"2,403.5","2,415.46","2,337.98","2,204.5"
2020-09-17,"2,383.538","2,415.18","2,341.15","2,209.34"
2020-09-18,"2,367.993","2,413.97","2,344.66","2,214.27"
2020-09-21,"2,329.494","2,409.6","2,347.21","2,218"
2020-09-22,"2,343.388","2,405.62","2,349.57","2,221.74"
2020-09-23,"2,305.571","2,398.59","2,351.15","2,224.78"
