Date,Price,MA20,MA60,MA120,MA240
2020-02-21,597.99,594.03,588,589.11,579.07
2020-02-24,599.81,594.5,588.22,589.13,579.26
2020-02-25,601.24,594.89,588.44,589.16,579.46
2020-02-26,601.09,595.32,588.66,589.18,579.66
2020-02-27,601.51,595.71,588.9,589.2,579.86
2020-02-28,605.62,596.25,589.26,589.25,580.08
2020-03-02,606.24,596.77,589.57,589.35,580.31
2020-03-03,607.56,597.38,589.93,589.44,580.54
2020-03-04,608.38,598.12,590.32,589.57,580.78
2020-03-05,609.25,599,590.74,589.72,581.01
2020-03-06,616.25,600.22,591.27,589.94,581.26
2020-03-09,621.36,601.59,591.88,590.2,581.53
2020-03-10,613.62,602.53,592.34,590.43,581.77
2020-03-11,613.54,603.5,592.85,590.65,582.01
2020-03-12,609.27,604.31,593.25,590.83,582.24
2020-03-13,604.04,604.84,593.58,590.95,582.44
2020-03-16,605.26,605.41,593.93,591.07,582.64
2020-03-17,599.36,605.63,594.19,591.15,582.82
2020-03-18,591.58,605.46,594.34,591.14,582.97
2020-03-19,595.05,605.4,594.54,591.14,583.12
2020-03-23,607.3,605.87,594.95,591.26,583.32
2020-03-24,605.72,606.16,595.33,591.36,583.51
2020-03-25,604.34,606.32,595.68,591.45,583.68
2020-03-26,607.79,606.65,596.07,591.57,583.88
2020-03-30,611.03,607.13,596.54,591.72,584.08
2020-03-31,608.52,607.27,596.96,591.85,584.27
2020-04-01,609.98,607.46,597.4,591.96,584.46
2020-04-02,610.24,607.59,597.8,592.08,584.67
2020-04-03,610.83,607.72,598.21,592.2,584.88
2020-04-06,608.96,607.7,598.61,592.31,585.08
2020-04-07,606.56,607.22,598.98,592.41,585.28
2020-04-08,606.24,606.46,599.36,592.53,585.47
2020-04-09,607.88,606.17,599.74,592.68,585.67
2020-04-13,607.35,605.87,600.13,592.83,585.87
2020-04-14,606.63,605.73,600.49,592.98,586.06
2020-04-15,609.2,605.99,600.88,593.15,586.26
2020-04-16,610.28,606.24,601.3,593.33,586.47
2020-04-17,609.14,606.73,601.7,593.52,586.68
2020-04-20,608.75,607.59,602.06,593.69,586.9
2020-04-21,609.61,608.32,602.44,593.87,587.11
2020-04-22,608.51,608.38,602.76,594.03,587.32
2020-04-23,609.84,608.58,603.08,594.21,587.53
2020-04-24,611.02,608.92,603.37,594.42,587.75
2020-04-27,609.98,609.03,603.67,594.62,587.97
2020-04-28,611.42,609.05,603.96,594.83,588.18
2020-04-29,611.43,609.19,604.24,595,588.4
2020-04-30,612.31,609.31,604.51,595.19,588.61
2020-05-01,611.81,609.39,604.79,595.39,588.83
2020-05-04,611.44,609.42,605.09,595.61,589.04
2020-05-05,610.79,609.51,605.4,595.81,589.25
2020-05-06,608.52,609.61,605.68,596.02,589.45
2020-05-07,610.46,609.82,605.96,596.26,589.66
2020-05-08,609.81,609.92,606.2,596.49,589.86
2020-05-11,607.98,609.95,606.44,596.69,590.06
2020-05-12,609.32,610.08,606.71,596.9,590.25
2020-05-13,610.55,610.15,606.99,597.11,590.46
2020-05-14,611.24,610.2,607.28,597.32,590.66
2020-05-15,610.54,610.27,607.54,597.53,590.86
2020-05-18,608.26,610.24,607.76,597.71,591.05
2020-05-19,609.04,610.21,607.98,597.89,591.24
2020-05-20,610.07,610.29,608.18,598.09,591.43
2020-05-21,610.74,610.34,608.36,598.29,591.63
2020-05-22,611.21,610.35,608.53,598.48,591.83
2020-05-26,609.34,610.31,608.66,598.66,592.02
2020-05-27,610.22,610.25,608.81,598.86,592.22
2020-05-28,609.93,610.18,608.88,599.07,592.4
2020-05-29,611.13,610.12,608.96,599.27,592.59
2020-06-01,609.89,610.02,609,599.47,592.77
2020-06-02,609.45,609.92,609.02,599.67,592.94
2020-06-03,606.88,609.73,608.98,599.86,593.1
2020-06-04,605.81,609.59,608.81,600.04,593.25
2020-06-05,603.68,609.25,608.51,600.19,593.38
2020-06-08,604.63,609,608.36,600.35,593.52
2020-06-09,606.29,608.91,608.24,600.54,593.66
2020-06-10,607.66,608.83,608.21,600.73,593.81
2020-06-11,611.09,608.85,608.33,600.96,593.96
2020-06-12,610.31,608.81,608.42,601.17,594.12
2020-06-15,610.56,608.81,608.6,601.4,594.28
2020-06-16,609.24,608.86,608.9,601.62,594.42
2020-06-17,609.69,608.89,609.14,601.84,594.56
2020-06-18,610.41,608.91,609.19,602.07,594.7
2020-06-19,610.33,608.89,609.27,602.3,594.84
2020-06-22,611.01,608.88,609.38,602.53,594.98
2020-06-23,610.32,608.93,609.42,602.75,595.11
2020-06-24,611.42,608.99,609.43,602.98,595.25
2020-06-25,612.26,609.1,609.49,603.23,595.38
2020-06-26,612.99,609.2,609.54,603.47,595.52
2020-06-29,612.86,609.34,609.59,603.69,595.66
2020-06-30,612.24,609.48,609.61,603.91,595.81
2020-07-01,610.46,609.66,609.63,604.12,595.95
2020-07-02,611.47,609.95,609.72,604.35,596.1
2020-07-06,611.35,610.33,609.8,604.58,596.24
2020-07-07,612.41,610.72,609.88,604.81,596.39
2020-07-08,612.94,611.05,609.97,605.05,596.54
2020-07-09,614.45,611.39,610.1,605.3,596.68
2020-07-10,614.09,611.54,610.18,605.53,596.83
2020-07-13,612.77,611.66,610.22,605.76,596.97
2020-07-14,614.16,611.84,610.31,606,597.12
2020-07-15,613.36,612.05,610.38,606.22,597.25
2020-07-16,614.4,612.29,610.46,606.45,597.4
2020-07-17,613.86,612.46,610.55,606.66,597.54
2020-07-20,614.54,612.67,610.63,606.86,597.69
2020-07-21,614.86,612.86,610.69,607.03,597.83
2020-07-22,615.81,613.14,610.79,607.23,597.98
2020-07-23,616.37,613.38,610.87,607.42,598.12
2020-07-24,615.87,613.56,610.95,607.59,598.24
2020-07-27,616.18,613.72,611.01,607.76,598.36
